service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Vertex AI Training,Vertex AI: Training/Pipelines on Tpu-v3 Accelerator USA,60.0,us-central1,C7E2-9256-1C43,2CBE-CDE6-DB3C,69,
On-Demand (BigQuery),Analysis (us-central1),10.0,us-central1,24E6-581D-38E5,3362-E469-6BEF,56.25,
On-Demand (BigQuery),Active Logical Storage (us-central1),3.0,us-central1,24E6-581D-38E5,0018-A5A0-9D6D,0,
Dataflow Classic (Dataflow),RAM Time Streaming Iowa,150.0,us-central1,57D6-8E6B-2DE0,8A4F-EDB2-2A96,0.49691,
Dataflow Classic (Dataflow),vCPU Time Streaming US,40.0,us-central1,57D6-8E6B-2DE0,9777-D277-B3CD,2.76,
Dataflow Classic (Dataflow),Streaming data processed for Iowa,1.34217728,us-central1,57D6-8E6B-2DE0,35E1-DBC8-77C0,0.0225,
Dataflow Classic (Dataflow),Streaming Engine Compute Unit Iowa,10.0,us-central1,57D6-8E6B-2DE0,FB25-70DC-2FAC,0.89,
Dataflow Classic (Dataflow),Local Disk Time PD Standard,0.0,us-central1,57D6-8E6B-2DE0,9F35-ED6F-2895,0,
Cloud Composer 2 (Cloud Composer),Cloud Composer Compute mCPUs (us-central1),2160000.0,us-central1,1992-3666-B975,B701-3D6E-BFF1,97.2,
Cloud Composer 2 (Cloud Composer),Cloud Composer Compute Memory (us-central1),2160.0,us-central1,1992-3666-B975,D7FD-FC38-57D9,10.8,
Cloud Composer 2 (Cloud Composer),Cloud Composer Compute Storage (us-central1),712.8,us-central1,1992-3666-B975,154C-7366-C5C3,0.14256,
Cloud Composer 2 (Cloud Composer),Cloud Composer Database Storage (us-central1).,1.0,us-central1,1992-3666-B975,1642-E13D-F4C4,0.17,
Cloud Composer 2 (Cloud Composer),Small Cloud Composer Environment Fee (us-central1).,720.0,us-central1,1992-3666-B975,6EA4-3652-173E,252,
Firestore,Cloud Firestore Read Ops Iowa,30416.666666666668,us-central1,F17B-412E-CB64,6809-9FDE-A3B6,0,
Firestore,Cloud Firestore Entity Writes Iowa,3041.666666666667,us-central1,F17B-412E-CB64,9822-4C63-901B,0,
Firestore,Cloud Firestore Entity Deletes Iowa,30.416666666666668,us-central1,F17B-412E-CB64,3E61-C297-8795,0,
Firestore,Cloud Firestore Storage Iowa,0.01,us-central1,F17B-412E-CB64,081D-E9E6-8764,0,
Cloud Storage,Standard Storage US Regional,3.0,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,0,
,,,,,,,
,,,,,Total Price:,489.73197,
,,,,,,,
"Prices are in US dollars, effective date is 2025-02-23T00:49:51.441Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVEyTWpjM09HSTFOUzFqWlRReExUUmhOelF0WW1JMk1TMHhNRFE1TlRnM09HTXlObUlRQVE9PRokRDk2NzFBODAtNDU5NS00MDA2LTgxNEUtQUJGNTlERkJBNUNF,,,,,,
